Name,Salary,Position,Age,Block,Steal,Assist,Two Points,Three Points
Joffrey Lauvergne,1524305,PF-C,25,0.08571428571428572,0.35714285714285715,1.0,1.6428571428571428,0.4714285714285714
John Henson,11422536,C,26,1.3448275862068966,0.5,0.9827586206896551,2.7413793103448274,0.0
John Wall,18063850,PG,26,0.6282051282051282,2.0128205128205128,10.653846153846153,7.153846153846154,1.141025641025641
Jon Leuer,10497319,PF,27,0.3466666666666667,0.41333333333333333,1.48,3.48,0.6533333333333333
Jonas Jerebko,4000000,PF,29,0.21794871794871795,0.3333333333333333,0.9102564102564102,0.8846153846153846,0.5769230769230769
Jonas Valanciunas,15460675,C,24,0.7875,0.4625,0.7125,4.875,0.0125
Jonathon Simmons,6300000,SG,27,0.32051282051282054,0.6025641025641025,1.6153846153846154,1.8846153846153846,0.38461538461538464
Jordan Clarkson,11562500,SG,24,0.0975609756097561,1.0731707317073171,2.597560975609756,4.390243902439025,1.4268292682926829
Jordan Crawford,250000,SG,28,0.10526315789473684,0.5789473684210527,3.0,3.5789473684210527,1.9473684210526316
Jordan Farmar,510921,PG,30,0.0,1.0,4.5,0.0,2.0
Jordan Mickey,1471382,PF,22,0.24,0.12,0.28,0.6,0.0
Jose Calderon,2328652,PG,35,0.024390243902439025,0.2682926829268293,2.1463414634146343,0.8536585365853658,0.4878048780487805
Josh Huestis,1471382,PF,25,1.5,0.0,1.5,2.0,1.0
Josh McRoberts,6021175,PF,29,0.18181818181818182,0.45454545454545453,2.272727272727273,1.4090909090909092,0.5909090909090909
Josh Richardson,1471382,SG,23,0.7358490566037735,1.1320754716981132,2.641509433962264,2.3962264150943398,1.4150943396226414
Jrue Holiday,25686667,PG,26,0.6417910447761194,1.492537313432836,7.2835820895522385,4.552238805970149,1.492537313432836
Juan Hernangomez,2076840,PF,21,0.1935483870967742,0.46774193548387094,0.46774193548387094,0.8870967741935484,0.7419354838709677
Julius Randle,4149242,PF,22,0.5,0.6621621621621622,3.5675675675675675,4.864864864864865,0.22972972972972974
Justin Anderson,1579440,SF,23,0.30666666666666664,0.5466666666666666,0.88,1.7066666666666668,0.7733333333333333
Justin Hamilton,1000000,C,26,0.671875,0.453125,0.859375,1.859375,0.859375
Justin Holiday,4615385,SG,27,0.3780487804878049,0.7926829268292683,1.2439024390243902,1.6585365853658536,1.1829268292682926
Justise Winslow,2705040,SF,20,0.3333333333333333,1.5,3.6666666666666665,4.055555555555555,0.3888888888888889
Jusuf Nurkic,2947305,C,22,1.1384615384615384,0.7692307692307693,1.8923076923076922,4.1692307692307695,0.0
K.J. McDaniels,100000,SF,23,0.3673469387755102,0.3877551020408163,0.2653061224489796,1.163265306122449,0.40816326530612246
Karl-Anthony Towns,6216840,C,21,1.2560975609756098,0.6951219512195121,2.682926829268293,8.548780487804878,1.2317073170731707
Kawhi Leonard,18868625,SF,25,0.7432432432432432,1.7837837837837838,3.5135135135135136,6.608108108108108,1.9864864864864864
Kay Felder,1312611,PG,21,0.16666666666666666,0.42857142857142855,1.380952380952381,1.3095238095238095,0.16666666666666666
Kelly Olynyk,10607169,C,25,0.38666666666666666,0.5733333333333334,1.9733333333333334,2.56,0.9066666666666666
Kelly Oubre,2093040,SF,21,0.21518987341772153,0.7341772151898734,0.5949367088607594,1.6708860759493671,0.6835443037974683
Kemba Walker,12000000,PG,26,0.27848101265822783,1.0759493670886076,5.506329113924051,5.10126582278481,3.037974683544304
Kenneth Faried,12921348,PF,27,0.6557377049180327,0.7049180327868853,0.9016393442622951,3.737704918032787,0.0
Kent Bazemore,16910113,SF,27,0.7123287671232876,1.2465753424657535,2.4246575342465753,2.780821917808219,1.2602739726027397
Kentavious Caldwell-Pope,17745894,SG,23,0.15789473684210525,1.1710526315789473,2.539473684210526,2.8552631578947367,2.013157894736842
Kevin Durant,25000000,SF,28,1.596774193548387,1.064516129032258,4.838709677419355,7.0,1.8870967741935485
Kevin Love,22642350,PF,28,0.36666666666666664,0.8833333333333333,1.9333333333333333,3.75,2.4166666666666665
Kevon Looney,1471382,C,20,0.32075471698113206,0.2641509433962264,0.5471698113207547,1.0188679245283019,0.03773584905660377
Khris Middleton,14100000,SF,25,0.2413793103448276,1.4137931034482758,3.413793103448276,3.6206896551724137,1.5517241379310345
Klay Thompson,17826150,SG,26,0.5128205128205128,0.8461538461538461,2.051282051282051,4.82051282051282,3.4358974358974357
Kosta Koufos,8393000,C,27,0.676056338028169,0.5070422535211268,0.6619718309859155,3.0422535211267605,0.0
Kris Dunn,4046760,PG,22,0.46153846153846156,1.0,2.41025641025641,1.2435897435897436,0.2692307692307692
Kristaps Porzingis,4503600,PF,21,1.9696969696969697,0.7121212121212122,1.4696969696969697,5.015151515151516,1.696969696969697
Kyle Anderson,2151704,SG,23,0.3611111111111111,0.7083333333333334,1.2638888888888888,1.0833333333333333,0.20833333333333334
Kyle Korver,7000000,SG,35,0.31343283582089554,0.5074626865671642,1.6417910447761195,1.1492537313432836,2.417910447761194
Kyle Lowry,28703704,PG,30,0.31666666666666665,1.4666666666666666,6.95,3.8833333333333333,3.216666666666667
Kyle Singler,4666500,SF,28,0.15625,0.21875,0.28125,0.84375,0.21875
Kyrie Irving,18868625,PG,24,0.3472222222222222,1.1527777777777777,5.805555555555555,6.861111111111111,2.4583333333333335
LaMarcus Aldridge,21461010,PF,31,1.2361111111111112,0.6388888888888888,1.9305555555555556,6.625,0.3194444444444444
Lance Stephenson,4180000,SG,26,0.16666666666666666,0.2777777777777778,3.2777777777777777,2.6666666666666665,0.3333333333333333
Lance Thomas,6655325,PF,28,0.10869565217391304,0.45652173913043476,0.7608695652173914,1.2826086956521738,0.8260869565217391
Langston Galloway,6666667,PG,25,0.08108108108108109,0.6216216216216216,1.2567567567567568,1.1756756756756757,1.6216216216216217
Larry Nance,1471382,PF,24,0.6349206349206349,1.3015873015873016,1.5238095238095237,2.857142857142857,0.15873015873015872
Larry Sanders,1865547,C,28,0.2,0.2,0.0,0.2,0.0
Leandro Barbosa,500000,SG,34,0.11940298507462686,0.4626865671641791,1.208955223880597,2.044776119402985,0.5223880597014925
LeBron James,33285709,SF,32,0.5945945945945946,1.2432432432432432,8.72972972972973,8.27027027027027,1.6756756756756757
Lou Williams,7000000,SG,30,0.2345679012345679,0.9876543209876543,2.950617283950617,3.271604938271605,2.0123456790123457
Lucas Nogueira,2947305,C,24,1.5789473684210527,0.9122807017543859,0.7368421052631579,1.7543859649122806,0.05263157894736842
Luke Babbitt,1974159,SF,27,0.16176470588235295,0.3088235294117647,0.5294117647058824,0.38235294117647056,1.2794117647058822
Luol Deng,17190000,SF,31,0.35714285714285715,0.8571428571428571,1.3214285714285714,2.017857142857143,0.9107142857142857
Malachi Richardson,1504560,SG,21,0.045454545454545456,0.22727272727272727,0.5,0.9090909090909091,0.36363636363636365
Malcolm Brogdon,1312611,SG,24,0.16,1.12,4.226666666666667,2.8266666666666667,1.04
